length,block_length,steps,prompt_id,task,prompt_tokens,repeat,nfe,latency_seconds,effective_slots_per_second,mps_current_allocated_gib,mps_driver_allocated_gib,model_load_seconds,answer
64,32,64,0,gsm8k_style,47,0,64,11.414785791999748,5.606763119887499,14.934091091156006,16.049545288085938,1.6231294170011097,"On Tuesday, it sold 27 x 2 = 54 books.\nOn Wednesday, it sold 19 books.\nSo, in total, it sold 27 + 54 + 19 = 100 books.\nConclusively: 100"
64,32,64,0,gsm8k_style,47,1,64,11.4206764999999,5.603871189241772,14.934091091156006,16.049545288085938,1.6231294170011097,"On Tuesday, it sold 27 x 2 = 54 books.\nOn Wednesday, it sold 19 books.\nSo, in total, it sold 27 + 54 + 19 = 100 books.\nConclusively: 100"
64,32,64,0,gsm8k_style,47,2,64,11.420031166999252,5.60418785764284,14.934091091156006,16.049545288085938,1.6231294170011097,"On Tuesday, it sold 27 x 2 = 54 books.\nOn Wednesday, it sold 19 books.\nSo, in total, it sold 27 + 54 + 19 = 100 books.\nConclusively: 100"
64,32,64,1,gsm8k_style,45,0,64,11.397922874999495,5.615058173483459,14.934091091156006,16.049560546875,1.6231294170011097,"The train travels $80 \cdot 3 = 240$ kilometers in the first part and $60 \cdot 2 = 120$ kilometers in the second part, for altogether $240 + 120 = \boxed{360}$ kilometers."
64,32,64,1,gsm8k_style,45,1,64,11.398021625000183,5.61500952583067,14.934091091156006,16.049560546875,1.6231294170011097,"The train travels $80 \cdot 3 = 240$ kilometers in the first part and $60 \cdot 2 = 120$ kilometers in the second part, for altogether $240 + 120 = \boxed{360}$ kilometers."
64,32,64,1,gsm8k_style,45,2,64,11.391353958000764,5.618296142492293,14.934091091156006,16.049560546875,1.6231294170011097,"The train travels $80 \cdot 3 = 240$ kilometers in the first part and $60 \cdot 2 = 120$ kilometers in the second part, for altogether $240 + 120 = \boxed{360}$ kilometers."
64,32,64,2,gsm8k_style,45,0,64,11.400116333001279,5.613977799045046,14.934091091156006,16.049560546875,1.6231294170011097,"One quarter of 144 is 36, so Mia has 144 - 36 = 108 stickers left. After giving 18 more stickers to her friend, Mia has 108 - 18 = \boxed{90} stickers remaining."
64,32,64,2,gsm8k_style,45,1,64,11.395733416999065,5.616136992510804,14.934091091156006,16.049560546875,1.6231294170011097,"One quarter of 144 is 36, so Mia has 144 - 36 = 108 stickers left. After giving 18 more stickers to her friend, Mia has 108 - 18 = \boxed{90} stickers remaining."
64,32,64,2,gsm8k_style,45,2,64,11.39787291599896,5.615082785329578,14.934091091156006,16.049560546875,1.6231294170011097,"One quarter of 144 is 36, so Mia has 144 - 36 = 108 stickers left. After giving 18 more stickers to her friend, Mia has 108 - 18 = \boxed{90} stickers remaining."
64,32,64,3,boolq_style,37,0,64,11.359997916000793,5.633803850426299,14.934091091156006,16.049575805664062,1.6231294170011097,"Yes, water can remain liquid below 0 degrees Celsius under some physical conditions. This is known as supercooling. Supercooling occurs when a substance remains in a liquid state below its normal freezing point, often due to the presence of impurities or other factors that prevent the formation of a solid crystal structure."
64,32,64,3,boolq_style,37,1,64,11.353061208001236,5.637246098426305,14.934091091156006,16.049575805664062,1.6231294170011097,"Yes, water can remain liquid below 0 degrees Celsius under some physical conditions. This is known as supercooling. Supercooling occurs when a substance remains in a liquid state below its normal freezing point, often due to the presence of impurities or other factors that prevent the formation of a solid crystal structure."
