m,name,k,n,median_ms,min_ms,max_ms,mean_ms,stdev_ms,tflops,raw_ms
32,q_proj,4096,4096,0.41266699554398656,0.39591698441654444,0.4807079676538706,0.4208943845393757,0.025768536019934864,2.601957112137282,"[0.41266699554398656, 0.4159589880146086, 0.4215409862808883, 0.4052909789606929, 0.39591698441654444, 0.40424999315291643, 0.4028750117868185, 0.40916696889325976, 0.43583300430327654, 0.4766659694723785, 0.42558397399261594, 0.40691602043807507, 0.3992499550804496, 0.4807079676538706, 0.4207919701002538]"
32,k_proj,4096,4096,0.39000000106170774,0.34904200583696365,0.47920900397002697,0.39415559731423855,0.036699925772753945,2.753184156607495,"[0.3949590027332306, 0.37999998312443495, 0.39000000106170774, 0.401084020268172, 0.40854199323803186, 0.37220801459625363, 0.36995799746364355, 0.45074999798089266, 0.417332979850471, 0.3547910018824041, 0.34920801408588886, 0.34904200583696365, 0.47920900397002697, 0.4164999700151384, 0.37874997360631824]"
32,v_proj,4096,4096,0.3886250196956098,0.34308398608118296,0.4442919744178653,0.3865334011303882,0.029320422067118188,2.762925106677401,"[0.4440000047907233, 0.39112503873184323, 0.3860419965349138, 0.3979169996455312, 0.3886250196956098, 0.395667040720582, 0.3934999695047736, 0.3921249881386757, 0.3792080096900463, 0.3776670200750232, 0.3587499959394336, 0.3573329886421561, 0.34866598434746265, 0.34308398608118296, 0.4442919744178653]"
32,o_proj,4096,4096,0.33433304633945227,0.32358296448364854,0.3624999662861228,0.33540553025280434,0.00941506879030265,3.2115934567527535,"[0.3624999662861228, 0.32949994783848524, 0.3332089981995523, 0.34579099155962467, 0.3397919936105609, 0.33775001065805554, 0.33670797711238265, 0.33487501787021756, 0.3315000212751329, 0.3267499851062894, 0.334082986228168, 0.325417029671371, 0.32358296448364854, 0.33433304633945227, 0.33529201755300164]"
32,gate_proj,4096,12288,0.6580000044777989,0.5740000051446259,0.7029580301605165,0.6423942705926796,0.04752623372039589,4.8954794074149355,"[0.6675830227322876, 0.6122500053606927, 0.6749999593012035, 0.7029580301605165, 0.6875830003991723, 0.6935830460861325, 0.6960000027902424, 0.6580000044777989, 0.6798329995945096, 0.6047079805284739, 0.6202909862622619, 0.60991698410362, 0.5769160343334079, 0.577291997615248, 0.5740000051446259]"
32,up_proj,4096,12288,0.5666659562848508,0.5357919726520777,0.6542500341311097,0.5761444568634033,0.03300897543166938,5.684522665026234,"[0.549374963156879, 0.5451659671962261, 0.548749987501651, 0.5663339979946613, 0.5873749614693224, 0.586042006034404, 0.6542500341311097, 0.6245829863473773, 0.5920829717069864, 0.5587090272456408, 0.5666659562848508, 0.5842920509167016, 0.5357919726520777, 0.5424579721875489, 0.6002919981256127]"
32,down_proj,12288,4096,0.7052919827401638,0.6609580013900995,0.7861250196583569,0.7094889297150075,0.038102579921138684,4.567222584163034,"[0.7667499594390392, 0.7052919827401638, 0.6864169845357537, 0.6952089606784284, 0.7213340140879154, 0.6788339815102518, 0.7170829921960831, 0.7861250196583569, 0.7382499752566218, 0.745666038710624, 0.6609580013900995, 0.6626660469919443, 0.7223329739645123, 0.6633339799009264, 0.6920830346643925]"
64,q_proj,4096,4096,0.6157499738037586,0.5910000181756914,0.8236669818870723,0.6383778604989251,0.0616989373404944,3.4875903197105282,"[0.626874971203506, 0.6019999855197966, 0.6445840117521584, 0.5972090293653309, 0.6415839889086783, 0.6157499738037586, 0.6070000235922635, 0.60224998742342, 0.5999159766361117, 0.6053330143913627, 0.7274579838849604, 0.5910000181756914, 0.6381669663824141, 0.6528749945573509, 0.8236669818870723]"
64,k_proj,4096,4096,0.5873330519534647,0.5607919883914292,0.6672500167042017,0.5925389976861576,0.029006475983070268,3.6563303237532563,"[0.565333990380168, 0.5687910015694797, 0.5701249465346336, 0.5699170287698507, 0.5607919883914292, 0.5682090413756669, 0.6672500167042017, 0.6197499460540712, 0.6010420038364828, 0.6111669936217368, 0.5803749663755298, 0.610541959758848, 0.5873330519534647, 0.5901250406168401, 0.6173329893499613]"
64,v_proj,4096,4096,0.6612500292249024,0.5917499656789005,0.8420000085607171,0.6869418003285924,0.08357130782769294,3.2476121785842738,"[0.6090420065447688, 0.6195000023581088, 0.5944999866187572, 0.5917499656789005, 0.6295419880189002, 0.6726249703206122, 0.6313340272754431, 0.6215830217115581, 0.7581670070067048, 0.6612500292249024, 0.7678749971091747, 0.8420000085607171, 0.736541987862438, 0.8063749992288649, 0.7620420074090362]"
64,o_proj,4096,4096,0.6851250072941184,0.6221670191735029,1.3368340441957116,0.742269610054791,0.17589796934190868,3.1344406132268112,"[0.712290988303721, 0.8852500468492508, 1.3368340441957116, 0.7450419943779707, 0.6752090412192047, 0.6517500150948763, 0.6624170346185565, 0.7189169991761446, 0.6851250072941184, 0.653332972433418, 0.6221670191735029, 0.7040839991532266, 0.7471669814549387, 0.6804160075262189, 0.654041999951005]"
64,gate_proj,4096,12288,0.7357500144280493,0.688083004206419,1.2749169836752117,0.883758335839957,0.23958588162226094,8.756304203416393,"[1.2342080008238554, 1.2749169836752117, 1.2619579792954028, 1.249832974281162, 0.9492079843766987, 0.7591670146211982, 0.7357090362347662, 0.7170409662649035, 0.7091250154189765, 0.7357500144280493, 0.7139170193113387, 0.7171250181272626, 0.7344590267166495, 0.7758749998174608, 0.688083004206419]"
64,up_proj,4096,12288,0.7308329804800451,0.6975830183364451,0.869082985445857,0.7401638625500103,0.03919994031114831,8.815216494154791,"[0.6975830183364451, 0.7242499850690365, 0.7230000337585807, 0.7175420178100467, 0.7289999630302191, 0.7432910497300327, 0.7395839784294367, 0.869082985445857, 0.7425000076182187, 0.7707079639658332, 0.7391669787466526, 0.73441700078547, 0.7147500291466713, 0.7308329804800451, 0.726749945897609]"
64,down_proj,12288,4096,0.8714579744264483,0.8409169968217611,0.9014160023070872,0.8693528089982768,0.01735892617613285,7.392727054038505,"[0.8714579744264483, 0.895833014510572, 0.8787920232862234, 0.877375015988946, 0.857875042129308, 0.8673749980516732, 0.8732920396141708, 0.9014160023070872, 0.8752919966354966, 0.8536670356988907, 0.8422500104643404, 0.8541250135749578, 0.8409169968217611, 0.8701669867150486, 0.8804579847492278]"
128,q_proj,4096,4096,1.2067920179106295,1.1353750014677644,1.3836669968441129,1.2167417366678517,0.07854602824353855,3.5589954459891606,"[1.2079579755663872, 1.1353750014677644, 1.1542090214788914, 1.1462499969638884, 1.1686250218190253, 1.2067920179106295, 1.2826250167563558, 1.2684999965131283, 1.3717080000787973, 1.3836669968441129, 1.2072499957866967, 1.1767499963752925, 1.1475000064820051, 1.2302499962970614, 1.163667009677738]"
128,k_proj,4096,4096,1.1548750335350633,1.1022499529644847,1.262791978660971,1.169677726769199,0.04789400300399474,3.7189887834471054,"[1.1022499529644847, 1.1308750254102051, 1.1623749742284417, 1.1299159959889948, 1.153874967712909, 1.138749998062849, 1.2220409698784351, 1.1938749812543392, 1.1862920364364982, 1.1413749889470637, 1.1220829910598695, 1.1886670254170895, 1.262791978660971, 1.2551249819807708, 1.1548750335350633]"
128,v_proj,4096,4096,1.1327500105835497,1.0845829965546727,1.1638340074568987,1.1278415952498715,0.022830970546013216,3.7916285640000975,"[1.1638340074568987, 1.1396249756217003, 1.163334003649652, 1.0932080331258476, 1.136958017013967, 1.1425829725340009, 1.1438329820521176, 1.0845829965546727, 1.1327500105835497, 1.123415946494788, 1.1030829627998173, 1.1182500165887177, 1.1350829736329615, 1.1196670238859951, 1.117417006753385]"
